@W: CG104 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/macros/ACX_DEVICE_MANAGER.svp":20403:29:20403:29|Unsized number in concatenation is 32 bits
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":277:4:277:12|Pruning unused register engine_cmd_submit_stretched. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":277:4:277:12|Pruning unused register submit_strobe_count[15:0]. Make sure that there are no unused intermediate registers.
@W: CL260 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":565:4:565:12|Pruning register bit 10 of bram_wr_addr_reg[10:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_control.sv":565:4:565:12|Pruning register bit 10 of bram_wr_addr_reg[10:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_bram_dual_read.sv":67:36:67:49|Input port bits 10 to 9 of i_rd_addr_left[10:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dispatcher_bram_dual_read.sv":75:36:75:50|Input port bits 10 to 9 of i_rd_addr_right[10:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/msix_irq_handler.sv":41:40:41:51|Input port bits 383 to 320 of i_regs_write[383:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/msix_irq_handler.sv":41:40:41:51|Input port bits 255 to 192 of i_regs_write[383:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/msix_irq_handler.sv":41:40:41:51|Input port bits 127 to 42 of i_regs_write[383:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/irq_gen.sv":37:40:37:51|Input port bits 191 to 160 of i_regs_write[191:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/irq_gen.sv":37:40:37:51|Input port bits 127 to 97 of i_regs_write[191:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/irq_gen.sv":37:40:37:51|Input port bits 95 to 64 of i_regs_write[191:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/irq_gen.sv":37:40:37:51|Input port bits 31 to 1 of i_regs_write[191:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":425:3:425:8|Pruning unused register xact_ar_len_d1[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/axi_bram_responder.sv":425:3:425:8|Pruning unused register xact_ar_len_d2[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":468:3:468:8|Pruning unused register xact_ar_len_d1[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":468:3:468:8|Pruning unused register xact_ar_len_d2[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":468:3:468:8|Pruning unused register xact_ar_len_d1[3:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/dma_bram_bridge.sv":468:3:468:8|Pruning unused register xact_ar_len_d2[3:0]. Make sure that there are no unused intermediate registers.

